id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,emission_source,comment
34,MA200-0416,60,2023-05-09,2023-05-09,09:20:00,09:48:00,mobile_monitoring, -,
35,MA200-0416,60,2023-05-09,2023-05-09,10:01:00,10:20:00,mobile_monitoring, -,
36,MA200-0416,60,2023-05-09,2023-05-09,10:32:00,11:04:00,mobile_monitoring, -,
37,MA200-0416,61,2023-05-09,2023-05-09,14:02:00,14:30:00,mobile_monitoring, -,
38,MA200-0416,61,2023-05-09,2023-05-09,14:35:00,15:06:00,mobile_monitoring, -,
39,MA200-0416,61,2023-05-09,2023-05-09,15:18:00,15:37:00,mobile_monitoring, -,
40,MA200-0416,61,2023-05-09,2023-05-09,15:52:00,16:26:00,mobile_monitoring, -,
41,MA200-0416,62,2023-05-10,2023-05-10,08:57:00,09:27:00,mobile_monitoring, -,
42,MA200-0416,62,2023-05-10,2023-05-10,09:35:00,10:04:00,mobile_monitoring, -,
43,MA200-0416,62,2023-05-10,2023-05-10,11:12:00,11:39:00,mobile_monitoring, -,
44,MA200-0416,62,2023-05-10,2023-05-10,11:46:00,12:06:00,mobile_monitoring, -,
45,MA200-0416,62,2023-05-10,2023-05-10,13:56:00,14:21:00,mobile_monitoring, -,
46,MA200-0416,62,2023-05-10,2023-05-10,14:24:00,14:51:00,mobile_monitoring, -,
47,MA200-0416,62,2023-05-10,2023-05-10,15:22:00,15:46:00,mobile_monitoring, -,
48,MA200-0416,62,2023-05-10,2023-05-10,15:54:00,16:10:00,mobile_monitoring, -,
49,MA200-0416,63,2023-05-11,2023-05-11,09:01:00,09:20:00,mobile_monitoring, -,
50,MA200-0416,63,2023-05-11,2023-05-11,09:31:00,10:05:00,mobile_monitoring, -,
51,MA200-0416,63,2023-05-11,2023-05-11,10:21:00,10:48:00,mobile_monitoring, -,
52,MA200-0416,63,2023-05-11,2023-05-11,10:53:00,11:22:00,mobile_monitoring, -,
53,MA200-0416,64,2023-05-11,2023-05-11,14:29:00,14:49:00,mobile_monitoring, -,
54,MA200-0416,64,2023-05-11,2023-05-11,15:00:00,15:31:00,mobile_monitoring, -,
55,MA200-0416,64,2023-05-11,2023-05-11,15:45:00,16:11:00,mobile_monitoring, -,
56,MA200-0416,64,2023-05-11,2023-05-11,16:18:00,16:46:00,mobile_monitoring, -,
57,MA200-0416,65,2023-05-12,2023-05-12,09:14:00,09:39:00,mobile_monitoring, -,
58,MA200-0416,65,2023-05-12,2023-05-12,09:42:00,10:05:00,mobile_monitoring, -,
59,MA200-0416,65,2023-05-12,2023-05-12,10:28:00,10:49:00,mobile_monitoring, -,
60,MA200-0416,65,2023-05-12,2023-05-12,10:51:00,11:13:00,mobile_monitoring, -,
61,MA200-0416,65,2023-05-12,2023-05-12,13:54:00,14:22:00,mobile_monitoring, -,
