id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,event,time,settlement_id
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,09:31:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,09:39:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,09:57:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,10:01:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,10:05:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,10:09:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,10:10:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,10:12:00,Kacheri
94,MA200-0416,80,2023-05-24,2023-05-24,2023-05-24T09:53:00Z,2023-05-24T11:17:00Z,personal_monitoring,burning,10:19:00,Kacheri
95,MA200-0416,81,2023-05-24,2023-05-24,2023-05-24T14:09:00Z,2023-05-24T15:19:00Z,personal_monitoring,burning,14:10:00,Kacheri
95,MA200-0416,81,2023-05-24,2023-05-24,2023-05-24T14:09:00Z,2023-05-24T15:19:00Z,personal_monitoring,burning,14:16:00,Kacheri
95,MA200-0416,81,2023-05-24,2023-05-24,2023-05-24T14:09:00Z,2023-05-24T15:19:00Z,personal_monitoring,burning,14:23:00,Kacheri
95,MA200-0416,81,2023-05-24,2023-05-24,2023-05-24T14:09:00Z,2023-05-24T15:19:00Z,personal_monitoring,burning,14:24:00,Kacheri
95,MA200-0416,81,2023-05-24,2023-05-24,2023-05-24T14:09:00Z,2023-05-24T15:19:00Z,personal_monitoring,burning,14:39:00,Kacheri
95,MA200-0416,81,2023-05-24,2023-05-24,2023-05-24T14:09:00Z,2023-05-24T15:19:00Z,personal_monitoring,burning,14:42:00,Kacheri
95,MA200-0416,81,2023-05-24,2023-05-24,2023-05-24T14:09:00Z,2023-05-24T15:19:00Z,personal_monitoring,burning,14:59:00,Kacheri
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:05:00,Bangwe
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:07:00,Bangwe
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:11:00,Bangwe
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:28:00,Bangwe
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:30:00,Bangwe
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:43:00,Bangwe
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:49:00,Bangwe
96,MA200-0416,83,2023-05-25,2023-05-25,2023-05-25T09:55:00Z,2023-05-25T11:01:00Z,personal_monitoring,burning,10:55:00,Bangwe
